"camera_id","role","global_gt_id","position_id","frame_id","frame_key","relative_sec","xmin","ymin","xmax","ymax","width","height","area","center_x","center_y","foot_x","foot_y","image_rel_path"
"C7","followup","0","363515","0","00000000","0","1281","63","1370","302","89","239","21271","1325.5","182.5","1325.5","302","Image_subsets\\C7\\00000000.png"
"C7","followup","1","355837","0","00000000","0","1242","64","1329","307","87","243","21141","1285.5","185.5","1285.5","307","Image_subsets\\C7\\00000000.png"
"C7","followup","3","323750","0","00000000","0","1176","108","1277","397","101","289","29189","1226.5","252.5","1226.5","397","Image_subsets\\C7\\00000000.png"
"C7","followup","4","322831","0","00000000","0","1256","138","1374","451","118","313","36934","1315","294.5","1315","451","Image_subsets\\C7\\00000000.png"
"C7","followup","10","435095","0","00000000","0","1781","87","1899","323","118","236","27848","1840","205","1840","323","Image_subsets\\C7\\00000000.png"
"C7","followup","27","491608","0","00000000","0","1740","33","1828","219","88","186","16368","1784","126","1784","219","Image_subsets\\C7\\00000000.png"
"C7","followup","33","292349","0","00000000","0","714","12","764","232","50","220","11000","739","122","739","232","Image_subsets\\C7\\00000000.png"
"C7","followup","34","311063","0","00000000","0","815","10","868","223","53","213","11289","841.5","116.5","841.5","223","Image_subsets\\C7\\00000000.png"
"C7","followup","35","467558","0","00000000","0","1558","18","1636","198","78","180","14040","1597","108","1597","198","Image_subsets\\C7\\00000000.png"
"C7","followup","36","382115","0","00000000","0","1190","16","1258","213","68","197","13396","1224","114.5","1224","213","Image_subsets\\C7\\00000000.png"
"C7","followup","37","486745","0","00000000","0","1608","14","1685","188","77","174","13398","1646.5","101","1646.5","188","Image_subsets\\C7\\00000000.png"
"C7","followup","0","363513","5","00000005","0.5","1278","62","1366","300","88","238","20944","1322","181","1322","300","Image_subsets\\C7\\00000005.png"
"C7","followup","1","355837","5","00000005","0.5","1242","64","1329","307","87","243","21141","1285.5","185.5","1285.5","307","Image_subsets\\C7\\00000005.png"
"C7","followup","3","308384","5","00000005","0.5","1055","107","1150","401","95","294","27930","1102.5","254","1102.5","401","Image_subsets\\C7\\00000005.png"
"C7","followup","4","306027","5","00000005","0.5","1120","139","1229","460","109","321","34989","1174.5","299.5","1174.5","460","Image_subsets\\C7\\00000005.png"
"C7","followup","10","436522","5","00000005","0.5","1755","80","1869","311","114","231","26334","1812","195.5","1812","311","Image_subsets\\C7\\00000005.png"
"C7","followup","27","491608","5","00000005","0.5","1740","33","1828","219","88","186","16368","1784","126","1784","219","Image_subsets\\C7\\00000005.png"
"C7","followup","33","292349","5","00000005","0.5","714","12","764","232","50","220","11000","739","122","739","232","Image_subsets\\C7\\00000005.png"
"C7","followup","34","311062","5","00000005","0.5","814","10","867","223","53","213","11289","840.5","116.5","840.5","223","Image_subsets\\C7\\00000005.png"
"C7","followup","35","467557","5","00000005","0.5","1556","17","1634","197","78","180","14040","1595","107","1595","197","Image_subsets\\C7\\00000005.png"
"C7","followup","36","382114","5","00000005","0.5","1189","15","1256","213","67","198","13266","1222.5","114","1222.5","213","Image_subsets\\C7\\00000005.png"
"C7","followup","37","487224","5","00000005","0.5","1608","14","1685","187","77","173","13321","1646.5","100.5","1646.5","187","Image_subsets\\C7\\00000005.png"
"C7","followup","0","364950","10","00000010","1","1280","60","1368","297","88","237","20856","1324","178.5","1324","297","Image_subsets\\C7\\00000010.png"
"C7","followup","1","355835","10","00000010","1","1238","63","1325","305","87","242","21054","1281.5","184","1281.5","305","Image_subsets\\C7\\00000010.png"
"C7","followup","3","290623","10","00000010","1","921","109","1008","412","87","303","26361","964.5","260.5","964.5","412","Image_subsets\\C7\\00000010.png"
"C7","followup","4","293056","10","00000010","1","995","133","1095","455","100","322","32200","1045","294","1045","455","Image_subsets\\C7\\00000010.png"
"C7","followup","10","438426","10","00000010","1","1726","73","1835","298","109","225","24525","1780.5","185.5","1780.5","298","Image_subsets\\C7\\00000010.png"
"C7","followup","27","502143","10","00000010","1","1731","26","1816","204","85","178","15130","1773.5","115","1773.5","204","Image_subsets\\C7\\00000010.png"
"C7","followup","33","292829","10","00000010","1","717","12","767","232","50","220","11000","742","122","742","232","Image_subsets\\C7\\00000010.png"
"C7","followup","34","311063","10","00000010","1","815","10","868","223","53","213","11289","841.5","116.5","841.5","223","Image_subsets\\C7\\00000010.png"
"C7","followup","35","467556","10","00000010","1","1554","17","1632","197","78","180","14040","1593","107","1593","197","Image_subsets\\C7\\00000010.png"
"C7","followup","36","382114","10","00000010","1","1189","15","1256","213","67","198","13266","1222.5","114","1222.5","213","Image_subsets\\C7\\00000010.png"
"C7","followup","37","487224","10","00000010","1","1608","14","1685","187","77","173","13321","1646.5","100.5","1646.5","187","Image_subsets\\C7\\00000010.png"
"C7","followup","0","367833","15","00000015","1.5","1302","62","1391","299","89","237","21093","1346.5","180.5","1346.5","299","Image_subsets\\C7\\00000015.png"
"C7","followup","1","357270","15","00000015","1.5","1238","61","1324","300","86","239","20554","1281","180.5","1281","300","Image_subsets\\C7\\00000015.png"
"C7","followup","3","278617","15","00000015","1.5","817","106","897","413","80","307","24560","857","259.5","857","413","Image_subsets\\C7\\00000015.png"
"C7","followup","4","279131","15","00000015","1.5","871","132","962","460","91","328","29848","916.5","296","916.5","460","Image_subsets\\C7\\00000015.png"
"C7","followup","10","448026","15","00000015","1.5","1770","72","1879","295","109","223","24307","1824.5","183.5","1824.5","295","Image_subsets\\C7\\00000015.png"
"C7","followup","27","513173","15","00000015","1.5","1752","23","1836","197","84","174","14616","1794","110","1794","197","Image_subsets\\C7\\00000015.png"
"C7","followup","33","293309","15","00000015","1.5","719","12","770","232","51","220","11220","744.5","122","744.5","232","Image_subsets\\C7\\00000015.png"
"C7","followup","34","311543","15","00000015","1.5","818","10","871","223","53","213","11289","844.5","116.5","844.5","223","Image_subsets\\C7\\00000015.png"
