"camera_id","role","global_gt_id","position_id","frame_id","frame_key","relative_sec","xmin","ymin","xmax","ymax","width","height","area","center_x","center_y","foot_x","foot_y","image_rel_path"
"C5","entry","4","322831","0","00000000","0","889","171","974","564","85","393","33405","931.5","367.5","931.5","564","Image_subsets\\C5\\00000000.png"
"C5","entry","5","374375","0","00000000","0","389","176","451","440","62","264","16368","420","308","420","440","Image_subsets\\C5\\00000000.png"
"C5","entry","4","306027","5","00000005","0.5","1070","173","1166","562","96","389","37344","1118","367.5","1118","562","Image_subsets\\C5\\00000005.png"
"C5","entry","5","381547","5","00000005","0.5","316","174","385","456","69","282","19458","350.5","315","350.5","456","Image_subsets\\C5\\00000005.png"
"C5","entry","4","293056","10","00000010","1","1222","174","1330","569","108","395","42660","1276","371.5","1276","569","Image_subsets\\C5\\00000010.png"
"C5","entry","5","395445","10","00000010","1","173","171","256","471","83","300","24900","214.5","321","214.5","471","Image_subsets\\C5\\00000010.png"
"C5","entry","4","279131","15","00000015","1.5","1375","176","1493","570","118","394","46492","1434","373","1434","570","Image_subsets\\C5\\00000015.png"
"C5","entry","5","398786","15","00000015","1.5","120","170","210","485","90","315","28350","165","327.5","165","485","Image_subsets\\C5\\00000015.png"
"C5","entry","39","400319","15","00000015","1.5","196","174","266","432","70","258","18060","231","303","231","432","Image_subsets\\C5\\00000015.png"
"C5","entry","40","186685","15","00000015","1.5","1658","190","1736","421","78","231","18018","1697","305.5","1697","421","Image_subsets\\C5\\00000015.png"
"C5","entry","383","399338","15","00000015","1.5","187","174","260","442","73","268","19564","223.5","308","223.5","442","Image_subsets\\C5\\00000015.png"
"C5","entry","4","264729","20","00000020","2","1523","178","1649","567","126","389","49014","1586","372.5","1586","567","Image_subsets\\C5\\00000020.png"
"C5","entry","383","399324","20","00000020","2","174","173","251","450","77","277","21329","212.5","311.5","212.5","450","Image_subsets\\C5\\00000020.png"
"C5","entry","4","245527","25","00000025","2.5","1713","180","1849","562","136","382","51952","1781","371","1781","562","Image_subsets\\C5\\00000025.png"
"C5","entry","43","390705","25","00000025","2.5","263","175","331","437","68","262","17816","297","306","297","437","Image_subsets\\C5\\00000025.png"
"C5","entry","43","393088","30","00000030","3","231","174","303","446","72","272","19584","267","310","267","446","Image_subsets\\C5\\00000030.png"
"C5","entry","43","398824","35","00000035","3.5","160","172","241","461","81","289","23409","200.5","316.5","200.5","461","Image_subsets\\C5\\00000035.png"
"C5","entry","6","218383","50","00000050","5","1443","188","1513","417","70","229","16030","1478","302.5","1478","417","Image_subsets\\C5\\00000050.png"
"C5","entry","116","393111","50","00000050","5","248","175","316","435","68","260","17680","282","305","282","435","Image_subsets\\C5\\00000050.png"
"C5","entry","6","211636","55","00000055","5.5","1527","188","1603","427","76","239","18164","1565","307.5","1565","427","Image_subsets\\C5\\00000055.png"
"C5","entry","168","393599","55","00000055","5.5","249","175","316","431","67","256","17152","282.5","303","282.5","431","Image_subsets\\C5\\00000055.png"
"C5","entry","6","204894","60","00000060","6","1608","188","1690","436","82","248","20336","1649","312","1649","436","Image_subsets\\C5\\00000060.png"
