"camera_id","role","global_gt_id","position_id","frame_id","frame_key","relative_sec","xmin","ymin","xmax","ymax","width","height","area","center_x","center_y","foot_x","foot_y","image_rel_path"
"C6","entry","5","374375","0","00000000","0","936","126","968","261","32","135","4320","952","193.5","952","261","Image_subsets\\C6\\00000000.png"
"C6","entry","7","186135","0","00000000","0","1222","152","1287","381","65","229","14885","1254.5","266.5","1254.5","381","Image_subsets\\C6\\00000000.png"
"C6","entry","8","172233","0","00000000","0","1324","155","1393","391","69","236","16284","1358.5","273","1358.5","391","Image_subsets\\C6\\00000000.png"
"C6","entry","9","154944","0","00000000","0","1375","160","1452","413","77","253","19481","1413.5","286.5","1413.5","413","Image_subsets\\C6\\00000000.png"
"C6","entry","7","175078","5","00000005","0.5","1219","155","1286","396","67","241","16147","1252.5","275.5","1252.5","396","Image_subsets\\C6\\00000005.png"
"C6","entry","8","163578","5","00000005","0.5","1320","158","1393","404","73","246","17958","1356.5","281","1356.5","404","Image_subsets\\C6\\00000005.png"
"C6","entry","9","146771","5","00000005","0.5","1377","163","1457","426","80","263","21040","1417","294.5","1417","426","Image_subsets\\C6\\00000005.png"
"C6","entry","7","164497","10","00000010","1","1201","159","1272","413","71","254","18034","1236.5","286","1236.5","413","Image_subsets\\C6\\00000010.png"
"C6","entry","8","150129","10","00000010","1","1355","162","1434","422","79","260","20540","1394.5","292","1394.5","422","Image_subsets\\C6\\00000010.png"
"C6","entry","9","137640","10","00000010","1","1390","166","1475","442","85","276","23460","1432.5","304","1432.5","442","Image_subsets\\C6\\00000010.png"
"C6","entry","7","153439","15","00000015","1.5","1192","163","1267","432","75","269","20175","1229.5","297.5","1229.5","432","Image_subsets\\C6\\00000015.png"
"C6","entry","8","144827","15","00000015","1.5","1316","164","1396","436","80","272","21760","1356","300","1356","436","Image_subsets\\C6\\00000015.png"
"C6","entry","9","127555","15","00000015","1.5","1428","170","1518","458","90","288","25920","1473","314","1473","458","Image_subsets\\C6\\00000015.png"
"C6","entry","39","400319","15","00000015","1.5","934","124","965","251","31","127","3937","949.5","187.5","949.5","251","Image_subsets\\C6\\00000015.png"
"C6","entry","40","186685","15","00000015","1.5","1393","151","1459","367","66","216","14256","1426","259","1426","367","Image_subsets\\C6\\00000015.png"
"C6","entry","7","140946","20","00000020","2","1205","167","1286","454","81","287","23247","1245.5","310.5","1245.5","454","Image_subsets\\C6\\00000020.png"
"C6","entry","8","131848","20","00000020","2","1320","169","1407","461","87","292","25404","1363.5","315","1363.5","461","Image_subsets\\C6\\00000020.png"
"C6","entry","9","119382","20","00000020","2","1433","174","1528","477","95","303","28785","1480.5","325.5","1480.5","477","Image_subsets\\C6\\00000020.png"
"C6","entry","40","174186","20","00000020","2","1399","154","1469","382","70","228","15960","1434","268","1434","382","Image_subsets\\C6\\00000020.png"
"C6","entry","7","128454","25","00000025","2.5","1223","172","1311","479","88","307","27016","1267","325.5","1267","479","Image_subsets\\C6\\00000025.png"
"C6","entry","8","123196","25","00000025","2.5","1326","173","1417","480","91","307","27937","1371.5","326.5","1371.5","480","Image_subsets\\C6\\00000025.png"
"C6","entry","9","108333","25","00000025","2.5","1470","179","1573","500","103","321","33063","1521.5","339.5","1521.5","500","Image_subsets\\C6\\00000025.png"
"C6","entry","40","165057","25","00000025","2.5","1416","157","1489","393","73","236","17228","1452.5","275","1452.5","393","Image_subsets\\C6\\00000025.png"
"C6","entry","41","137755","25","00000025","2.5","1698","162","1784","410","86","248","21328","1741","286","1741","410","Image_subsets\\C6\\00000025.png"
"C6","entry","43","390705","25","00000025","2.5","926","125","958","255","32","130","4160","942","190","942","255","Image_subsets\\C6\\00000025.png"
"C6","entry","7","120283","30","00000030","3","1225","176","1317","498","92","322","29624","1271","337","1271","498","Image_subsets\\C6\\00000030.png"
"C6","entry","8","116951","30","00000030","3","1343","176","1439","493","96","317","30432","1391","334.5","1391","493","Image_subsets\\C6\\00000030.png"
"C6","entry","9","106412","30","00000030","3","1479","180","1583","504","104","324","33696","1531","342","1531","504","Image_subsets\\C6\\00000030.png"
"C6","entry","40","153037","30","00000030","3","1419","160","1497","412","78","252","19656","1458","286","1458","412","Image_subsets\\C6\\00000030.png"
"C6","entry","41","126698","30","00000030","3","1721","166","1813","428","92","262","24104","1767","297","1767","428","Image_subsets\\C6\\00000030.png"
"C6","entry","7","112594","35","00000035","3.5","1232","180","1329","518","97","338","32786","1280.5","349","1280.5","518","Image_subsets\\C6\\00000035.png"
"C6","entry","8","107347","35","00000035","3.5","1385","181","1488","513","103","332","34196","1436.5","347","1436.5","513","Image_subsets\\C6\\00000035.png"
"C6","entry","9","97773","35","00000035","3.5","1540","184","1651","522","111","338","37518","1595.5","353","1595.5","522","Image_subsets\\C6\\00000035.png"
"C6","entry","40","135261","35","00000035","3.5","1464","166","1550","439","86","273","23478","1507","302.5","1507","439","Image_subsets\\C6\\00000035.png"
"C6","entry","41","116600","35","00000035","3.5","1738","170","1836","447","98","277","27146","1787","308.5","1787","447","Image_subsets\\C6\\00000035.png"
"C6","entry","7","104423","40","00000040","4","1235","185","1338","541","103","356","36668","1286.5","363","1286.5","541","Image_subsets\\C6\\00000040.png"
"C6","entry","8","93891","40","00000040","4","1412","189","1526","552","114","363","41382","1469","370.5","1469","552","Image_subsets\\C6\\00000040.png"
"C6","entry","9","84315","40","00000040","4","1574","192","1698","563","124","371","46004","1636","377.5","1636","563","Image_subsets\\C6\\00000040.png"
"C6","entry","40","125648","40","00000040","4","1479","170","1570","457","91","287","26117","1524.5","313.5","1524.5","457","Image_subsets\\C6\\00000040.png"
"C6","entry","41","106034","40","00000040","4","1794","174","1899","466","105","292","30660","1846.5","320","1846.5","466","Image_subsets\\C6\\00000040.png"
"C6","entry","7","93374","45","00000045","4.5","1264","192","1376","574","112","382","42784","1320","383","1320","574","Image_subsets\\C6\\00000045.png"
"C6","entry","8","82360","45","00000045","4.5","1451","196","1576","589","125","393","49125","1513.5","392.5","1513.5","589","Image_subsets\\C6\\00000045.png"
"C6","entry","9","72787","45","00000045","4.5","1639","200","1777","600","138","400","55200","1708","400","1708","600","Image_subsets\\C6\\00000045.png"
"C6","entry","40","112679","45","00000045","4.5","1528","175","1628","482","100","307","30700","1578","328.5","1578","482","Image_subsets\\C6\\00000045.png"
"C6","entry","6","218383","50","00000050","5","1317","145","1374","339","57","194","11058","1345.5","242","1345.5","339","Image_subsets\\C6\\00000050.png"
"C6","entry","7","74631","50","00000050","5","1288","207","1420","649","132","442","58344","1354","428","1354","649","Image_subsets\\C6\\00000050.png"
